artist_key,width_cm,height_cm,depth_cm,area_cm2,log_area,aspect_ratio,has_depth,is_3d_candidate,medium_category,support_category,medium_support_bucket,artist_works_log,is_extreme_aspect_ratio,is_training_candidate,_track6_row_id,artist_works_count_train
eun hye seo,97.0,130.3,3.0,12639.1,9.444550462634185,1.343298969072165,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,49,275
jiwon jang,72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,acrylic__linen,4.564348191467836,False,True,50,95
e eun seo,30.0,30.0,1.4,900.0,6.802394763324311,1.0,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,51,70
jiwon jang,72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,acrylic__linen,4.564348191467836,False,True,52,95
jiwon jang,72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,acrylic__linen,4.564348191467836,False,True,53,95
eun hye seo,91.0,91.0,4.0,8281.0,9.0217190130337,1.0,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,54,275
eun hye seo,40.0,50.0,2.1,2000.0,7.600902459542082,1.25,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,55,275
eun hye seo,145.5,90.0,4.0,13095.0,9.479985756941812,1.6166666666666667,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,57,275
sunny jung,53.0,40.9,2.0,2167.7,7.681421976600878,1.2958435207823962,True,False,mixed_media,canvas,mixed_media__canvas,1.6094379124341005,False,True,59,4
sunny jung,31.8,31.8,2.0,1011.24,6.918932579572262,1.0,True,False,mixed_media,canvas,mixed_media__canvas,1.6094379124341005,False,True,60,4
suhyang seo,53.0,65.1,1.5,3450.2999999999997,8.146216462766645,1.228301886792453,True,False,acrylic,linen,acrylic__linen,3.49650756146648,False,True,61,32
영곤 김,53.1,72.6,2.5,3855.06,8.257141850078643,1.367231638418079,True,False,mixed_media,canvas,mixed_media__canvas,1.6094379124341005,False,True,62,4
영곤 김,45.5,67.6,3.5,3075.7999999999997,8.031320309005823,1.4857142857142855,True,False,mixed_media,canvas,mixed_media__canvas,1.6094379124341005,False,True,63,4
영곤 김,40.9,52.8,3.6,2159.52,7.677641253760972,1.2909535452322738,True,False,mixed_media,canvas,mixed_media__canvas,1.6094379124341005,False,True,66,4
hee ra kim,273.0,116.8,1.8,31886.4,10.369934865579086,2.337328767123288,True,False,mixed_media,linen,mixed_media__linen,3.091042453358316,False,True,67,21
eun hye seo,91.0,91.0,4.0,8281.0,9.0217190130337,1.0,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,68,275
eun hye seo,72.7,116.8,4.0,8491.36,9.0468044549336,1.6066024759284732,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,70,275
eun hye seo,73.0,91.0,3.0,6643.0,8.80131894766524,1.2465753424657535,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,71,275
zeyah ren,48.0,27.0,2.7,1296.0,7.16703787691222,1.7777777777777777,True,False,oil,linen,oil__linen,2.0794415416798357,False,True,72,7
eun hye seo,116.8,72.7,2.7,8491.36,9.0468044549336,1.6066024759284732,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,75,275
eun hye seo,219.0,91.0,3.0,19929.0,9.899931236333352,2.4065934065934065,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,76,275
zeyah ren,50.0,50.0,2.7,2500.0,7.824046010856292,1.0,True,False,oil,linen,oil__linen,2.0794415416798357,False,True,77,7
lightground myungkyu kang,180.0,180.0,4.0,32400.0,10.38591370178042,1.0,True,False,mixed_media,linen,mixed_media__linen,1.3862943611198906,False,True,78,3
lightground myungkyu kang,193.0,97.0,2.8,18721.0,9.837401167408268,1.9896907216494848,True,False,oil,linen,oil__linen,1.3862943611198906,False,True,79,3
injung kwon,81.0,100.1,3.0,8108.099999999999,9.000618840993614,1.2358024691358025,True,False,oil,canvas,oil__canvas,3.044522437723423,False,True,80,20
eun hye seo,20.0,15.0,1.7,300.0,5.703782474656201,1.3333333333333333,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,81,275
eun hye seo,20.0,20.0,1.6,400.0,5.991464547107982,1.0,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,82,275
eun hye seo,20.0,20.0,3.5,400.0,5.991464547107982,1.0,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,83,275
eun hye seo,100.0,65.0,4.0,6500.0,8.779557455883728,1.5384615384615383,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,84,275
e eun seo,130.5,97.0,2.5,12658.5,9.44608420526613,1.345360824742268,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,85,70
e eun seo,53.0,41.0,2.0,2173.0,7.683863980256429,1.2926829268292683,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,86,70
lynn yang,117.0,91.0,3.0,10647.0,9.273033441314606,1.2857142857142858,True,False,acrylic,canvas,acrylic__canvas,4.248495242049359,False,True,87,69
lynn yang,91.0,117.0,3.0,10647.0,9.273033441314606,1.2857142857142858,True,False,acrylic,canvas,acrylic__canvas,4.248495242049359,False,True,88,69
jaeho jung,38.0,46.0,4.0,1748.0,7.466227556215481,1.2105263157894737,True,False,oil,linen,oil__linen,2.0794415416798357,False,True,89,7
jaeho jung,61.0,73.0,4.0,4453.0,8.401333305321703,1.1967213114754098,True,False,oil,linen,oil__linen,2.0794415416798357,False,True,90,7
jaeho jung,50.0,65.0,4.0,3250.0,8.086410275323782,1.3,True,False,oil,linen,oil__linen,2.0794415416798357,False,True,91,7
jaeho jung,73.0,91.0,3.0,6643.0,8.80131894766524,1.2465753424657535,True,False,oil,linen,oil__linen,2.0794415416798357,False,True,93,7
jiyoung hong,33.4,24.2,2.8,808.28,6.694908533145296,1.3801652892561984,True,False,mixed_media,canvas,mixed_media__canvas,4.875197323201151,False,True,94,130
jaeho jung,38.0,46.0,4.0,1748.0,7.466227556215481,1.2105263157894737,True,False,oil,linen,oil__linen,2.0794415416798357,False,True,95,7
jaeho jung,32.0,41.0,4.0,1312.0,7.179307969504034,1.28125,True,False,mixed_media,linen,mixed_media__linen,2.0794415416798357,False,True,96,7
eun hye seo,53.0,72.7,2.0,3853.1,8.256633298091595,1.3716981132075472,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,97,275
e eun seo,60.6,72.7,2.5,4405.62,8.390636277614743,1.1996699669966997,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,98,70
eun hye seo,24.5,33.5,2.0,820.75,6.710218556381702,1.3673469387755102,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,99,275
eun hye seo,24.2,33.4,2.0,808.28,6.694908533145296,1.3801652892561984,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,101,275
eun hye seo,15.0,20.0,1.2,300.0,5.703782474656201,1.3333333333333333,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,102,275
lightground myungkyu kang,193.5,59.5,2.7,11513.25,9.35125382502142,3.2521008403361344,True,False,oil,canvas,oil__canvas,1.3862943611198906,False,True,103,3
eun hye seo,162.2,130.3,2.8,21134.66,9.958669625812112,1.244819646968534,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,104,275
eun hye seo,41.0,53.0,1.8,2173.0,7.683863980256429,1.2926829268292683,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,105,275
eun hye seo,45.5,53.0,2.5,2411.5,7.788004239509027,1.164835164835165,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,106,275
mihyun kim,31.9,31.9,2.8,1017.61,6.925212019581598,1.0,True,False,oil,canvas,oil__canvas,4.0943445622221,False,True,107,59
e eun seo,162.2,112.1,5.0,18182.62,9.808221471759428,1.446922390722569,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,109,70
eun hye seo,20.0,30.0,1.8,600.0,6.396929655216146,1.5,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,110,275
eun hye seo,12.0,12.0,0.7,144.0,4.969813299576001,1.0,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,113,275
jihoon yang,80.3,80.3,2.5,6448.089999999999,8.771539241905431,1.0,True,False,oil,linen,oil__linen,4.248495242049359,False,True,114,69
jihoon yang,31.8,31.8,2.0,1011.24,6.918932579572262,1.0,True,False,oil,linen,oil__linen,4.248495242049359,False,True,115,69
jihoon yang,31.8,31.8,2.0,1011.24,6.918932579572262,1.0,True,False,oil,linen,oil__linen,4.248495242049359,False,True,116,69
hee ra kim,182.1,116.8,1.8,21269.28,9.965019057127687,1.5590753424657535,True,False,mixed_media,linen,mixed_media__linen,3.091042453358316,False,True,117,21
zeyah ren,50.0,50.0,2.7,2500.0,7.824046010856292,1.0,True,False,oil,linen,oil__linen,2.0794415416798357,False,True,118,7
zeyah ren,50.0,50.0,2.7,2500.0,7.824046010856292,1.0,True,False,oil,linen,oil__linen,2.0794415416798357,False,True,119,7
lydia lee,121.9,130.8,2.5,15944.520000000002,9.676870475510324,1.073010664479081,True,False,oil,canvas,oil__canvas,4.804021044733257,False,True,120,121
eun hye seo,65.0,91.0,4.0,5915.0,8.685246776412487,1.4,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,121,275
zeyah ren,50.0,50.0,2.7,2500.0,7.824046010856292,1.0,True,False,oil,linen,oil__linen,2.0794415416798357,False,True,122,7
eun hye seo,27.5,41.0,2.0,1127.5,7.027758071376834,1.490909090909091,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,123,275
e eun seo,232.0,58.0,3.5,13456.0,9.507180382212727,4.0,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,124,70
eun hye seo,80.3,116.8,4.0,9379.04,9.146232691346842,1.4545454545454546,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,125,275
nahwoe park,100.0,65.0,3.0,6500.0,8.779557455883728,1.5384615384615383,True,False,ink,linen,ink__linen,2.302585092994046,False,True,128,9
hanji park,25.8,17.9,3.0,461.82,6.135175204774281,1.4413407821229052,True,False,acrylic,canvas,acrylic__canvas,5.53338948872752,False,True,129,252
jiwon jang,130.3,130.3,3.5,16978.090000000004,9.7396789682616,1.0,True,False,acrylic,linen,acrylic__linen,4.564348191467836,False,True,130,95
jiwon jang,72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,acrylic__linen,4.564348191467836,False,True,131,95
jiwon jang,72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,acrylic__linen,4.564348191467836,False,True,132,95
mu ri,61.0,73.7,5.1,4495.7,8.410876663368603,1.2081967213114757,True,False,oil,linen,oil__linen,0.6931471805599453,False,True,133,1
tina kobets,43.0,54.0,2.0,2322.0,7.7501841622578365,1.255813953488372,True,False,mixed_media,canvas,mixed_media__canvas,1.3862943611198906,False,True,134,3
jiwon jang,130.3,130.3,3.5,16978.090000000004,9.7396789682616,1.0,True,False,acrylic,linen,acrylic__linen,4.564348191467836,False,True,135,95
eun hye seo,73.0,73.0,2.0,5329.0,8.580918882296782,1.0,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,136,275
ro un lee,40.0,40.0,1.5,1600.0,7.377758908227872,1.0,True,False,mixed_media,canvas,mixed_media__canvas,2.833213344056216,False,True,137,16
jane nee,162.0,130.0,0.1,21060.0,9.955130785687968,1.2461538461538462,True,False,oil,canvas,oil__canvas,2.995732273553991,False,True,138,19
elle rosenfeld,46.0,53.1,1.5,2442.6,7.800818324736988,1.1543478260869566,True,False,acrylic,canvas,acrylic__canvas,2.3978952727983707,False,True,139,10
nahwoe park,40.9,32.0,3.0,1308.8,7.176865965848482,1.278125,True,False,ink,linen,ink__linen,2.302585092994046,False,True,140,9
nahwoe park,53.1,45.0,3.0,2389.5,7.7788394180182125,1.18,True,False,oil,linen,oil__linen,2.302585092994046,False,True,141,9
e eun seo,45.5,38.0,2.5,1729.0,7.455298485683291,1.1973684210526316,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,142,70
nahwoe park,32.0,41.0,3.0,1312.0,7.179307969504034,1.28125,True,False,ink,linen,ink__linen,2.302585092994046,False,True,143,9
nahwoe park,32.0,40.9,3.0,1308.8,7.176865965848482,1.278125,True,False,ink,linen,ink__linen,2.302585092994046,False,True,145,9
ro un lee,45.5,37.8,1.5,1719.9,7.450021428582446,1.2037037037037035,True,False,mixed_media,canvas,mixed_media__canvas,2.833213344056216,False,True,146,16
e eun seo,116.8,91.0,3.5,10628.8,9.271322576910975,1.2835164835164834,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,147,70
jong pyo kim,52.5,46.0,4.0,2415.0,7.789454566086673,1.141304347826087,True,False,acrylic,linen,acrylic__linen,2.302585092994046,False,True,148,9
jiwon jang,72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,acrylic__linen,4.564348191467836,False,True,149,95
jiwon jang,130.3,130.3,3.5,16978.090000000004,9.7396789682616,1.0,True,False,acrylic,linen,acrylic__linen,4.564348191467836,False,True,150,95
e eun seo,33.4,53.0,1.5,1770.1999999999998,7.478847813534776,1.5868263473053892,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,153,70
e eun seo,60.6,72.7,5.0,4405.62,8.390636277614743,1.1996699669966997,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,154,70
eun hye seo,145.5,112.1,4.0,16310.55,9.69956741668966,1.2979482604817127,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,155,275
e eun seo,72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,156,70
jiwon jang,72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,acrylic__linen,4.564348191467836,False,True,157,95
e eun seo,112.1,145.5,4.0,16310.55,9.69956741668966,1.2979482604817127,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,158,70
jieun kim,56.0,55.0,4.0,3080.0,8.03268487596762,1.018181818181818,True,False,ink,linen,ink__linen,3.044522437723423,False,True,159,20
jiwon jang,130.3,130.3,3.5,16978.090000000004,9.7396789682616,1.0,True,False,acrylic,linen,acrylic__linen,4.564348191467836,False,True,160,95
e eun seo,73.0,116.8,3.0,8526.4,9.050922511542518,1.6,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,161,70
jiwon jang,72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,acrylic__linen,4.564348191467836,False,True,163,95
jiwon jang,72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,acrylic__linen,4.564348191467836,False,True,164,95
e eun seo,30.0,30.0,5.0,900.0,6.802394763324311,1.0,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,176,70
e eun seo,73.0,53.0,2.0,3869.0,8.260751354700513,1.3773584905660377,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,177,70
jong pyo kim,99.8,69.2,4.0,6906.16,8.840169045941042,1.4421965317919074,True,False,acrylic,linen,acrylic__linen,2.302585092994046,False,True,178,9
jong pyo kim,46.0,52.5,4.0,2415.0,7.789454566086673,1.141304347826087,True,False,acrylic,linen,acrylic__linen,2.302585092994046,False,True,179,9
jihae lee,90.9,65.2,1.0,5926.68,8.687219470116041,1.3941717791411044,True,False,mixed_media,linen,mixed_media__linen,3.6375861597263857,False,True,180,37
jiwon jang,150.0,180.0,3.5,27000.0,10.203592144986466,1.2,True,False,acrylic,linen,acrylic__linen,4.564348191467836,False,True,181,95
eun hye seo,72.7,53.0,1.7,3853.1,8.256633298091595,1.3716981132075472,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,182,275
eun hye seo,90.9,65.1,2.0,5917.59,8.685684550397957,1.3963133640552998,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,183,275
eun hye seo,130.3,162.2,3.0,21134.66,9.958669625812112,1.244819646968534,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,184,275
eun hye seo,40.0,52.5,4.0,2100.0,7.649692623711514,1.3125,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,185,275
e eun seo,27.5,22.0,1.7,605.0,6.405228458030842,1.25,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,186,70
e eun seo,120.0,25.0,3.0,3000.0,8.006367567650246,4.8,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,187,70
e eun seo,24.1,33.3,2.5,802.53,6.687769237483008,1.3817427385892114,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,188,70
eun hye seo,53.0,41.0,2.0,2173.0,7.683863980256429,1.2926829268292683,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,189,275
e eun seo,60.6,72.7,2.5,4405.62,8.390636277614743,1.1996699669966997,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,190,70
e eun seo,90.9,65.1,3.0,5917.59,8.685684550397957,1.3963133640552998,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,191,70
e eun seo,40.9,31.8,2.0,1300.62,7.170596352834887,1.2861635220125784,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,192,70
eun hye seo,45.5,53.0,2.0,2411.5,7.788004239509027,1.164835164835165,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,194,275
jihea yang,31.7,31.7,1.8,1004.89,6.91263336176647,1.0,True,False,oil,linen,oil__linen,2.302585092994046,False,True,195,9
hee ra kim,90.9,116.8,0.3,10617.12,9.27022307157756,1.2849284928492848,True,False,ink,linen,ink__linen,3.091042453358316,False,True,196,21
sungmin jo,53.5,45.5,3.0,2434.25,7.797393979858866,1.175824175824176,True,False,oil,linen,oil__linen,1.9459101490553132,False,True,197,6
ro un lee,32.8,32.8,1.8,1075.84,6.980857030780196,1.0,True,False,mixed_media,canvas,mixed_media__canvas,2.833213344056216,False,True,200,16
eun hye seo,25.8,18.0,3.3,464.4,6.140746249823736,1.4333333333333331,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,201,275
ro un lee,52.8,45.5,1.8,2402.4,7.784223516669121,1.1604395604395603,True,False,mixed_media,canvas,mixed_media__canvas,2.833213344056216,False,True,202,16
eun hye seo,116.8,72.5,3.5,8468.0,9.044049632254756,1.6110344827586207,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,203,275
e eun seo,53.0,72.7,2.0,3853.1,8.256633298091595,1.3716981132075472,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,204,70
jiwon jang,72.7,90.9,2.0,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,acrylic__linen,4.564348191467836,False,True,205,95
eun hye seo,130.3,162.2,3.0,21134.66,9.958669625812112,1.244819646968534,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,206,275
lydia lee,50.0,60.0,2.5,3000.0,8.006367567650246,1.2,True,False,oil,canvas,oil__canvas,4.804021044733257,False,True,207,121
eun hye seo,60.0,30.0,2.0,1800.0,7.495541943884256,2.0,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,208,275
ro un lee,23.9,32.8,1.5,783.9199999999998,6.6643069743275625,1.3723849372384938,True,False,mixed_media,canvas,mixed_media__canvas,2.833213344056216,False,True,209,16
eun hye seo,90.0,30.0,3.5,2700.0,7.90100705199242,3.0,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,210,275
e eun seo,100.0,75.0,4.0,7500.0,8.922658299524402,1.3333333333333333,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,212,70
e eun seo,34.8,27.3,1.7,950.04,6.8565040889713424,1.2747252747252746,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,213,70
eun hye seo,150.0,50.0,2.2,7500.0,8.922658299524402,3.0,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,214,275
ro un lee,53.0,41.0,2.0,2173.0,7.683863980256429,1.2926829268292683,True,False,mixed_media,canvas,mixed_media__canvas,2.833213344056216,False,True,215,16
ro un lee,45.5,33.4,1.7,1519.7,7.326268225939559,1.3622754491017963,True,False,mixed_media,canvas,mixed_media__canvas,2.833213344056216,False,True,216,16
eun hye seo,40.3,50.5,1.7,2035.15,7.618324805233952,1.2531017369727049,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,218,275
e eun seo,20.0,14.5,1.5,290.0,5.66988092298052,1.3793103448275863,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,219,70
yuui gim,72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,oil,linen,oil__linen,4.248495242049359,False,True,220,69
eun hye seo,45.5,37.8,1.7,1719.9,7.450021428582446,1.2037037037037035,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,221,275
eun hye seo,20.0,20.0,1.5,400.0,5.991464547107982,1.0,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,222,275
ro un lee,52.8,40.6,1.8,2143.68,7.670279257319903,1.3004926108374384,True,False,mixed_media,canvas,mixed_media__canvas,2.833213344056216,False,True,223,16
ro un lee,37.5,37.5,1.0,1406.25,7.24868186595273,1.0,True,False,mixed_media,canvas,mixed_media__canvas,2.833213344056216,False,True,224,16
ro un lee,20.0,20.0,1.5,400.0,5.991464547107982,1.0,True,False,mixed_media,canvas,mixed_media__canvas,2.833213344056216,False,True,225,16
e eun seo,72.7,60.6,5.0,4405.62,8.390636277614743,1.1996699669966997,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,226,70
eun hye seo,91.0,65.0,1.5,5915.0,8.685246776412487,1.4,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,227,275
eun hye seo,72.7,60.6,2.0,4405.62,8.390636277614743,1.1996699669966997,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,228,275
gwondo back,53.0,72.7,2.0,3853.1,8.256633298091595,1.3716981132075472,True,False,oil,linen,oil__linen,2.3978952727983707,False,True,229,10
eun hye seo,53.0,33.4,1.5,1770.1999999999998,7.478847813534776,1.5868263473053892,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,230,275
eun hye seo,41.0,53.0,2.5,2173.0,7.683863980256429,1.2926829268292683,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,231,275
eun hye seo,72.7,90.9,3.0,6608.43,8.796101385722906,1.250343878954608,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,232,275
eun hye seo,20.0,20.0,1.6,400.0,5.991464547107982,1.0,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,233,275
eun hye seo,72.7,72.7,1.6,5285.29,8.572682769078947,1.0,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,234,275
ro un lee,32.0,41.0,2.0,1312.0,7.179307969504034,1.28125,True,False,mixed_media,canvas,mixed_media__canvas,2.833213344056216,False,True,235,16
e eun seo,53.0,33.4,2.5,1770.1999999999998,7.478847813534776,1.5868263473053892,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,237,70
